siret,adresse,"Intitulés de la  NAF rév. 2, version finale"
02404912400373,RUE DE LA BRIQUETTERIE MAMOUDZOU 97600 CAVANI,Commerce d'alimentation générale
21850243300012,PL DU 18 JUIN 1940 BREM-SUR-MER 85470,Administration publique générale
29080289100017,1 RUE DU DOCTEUR DOYEN TAGNON 08300 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
28480002600023,11 BOULEVARD DES CAPUCINS MENDE 48000,Administration publique générale
30390318100012,[ND] [ND] [ND] TIGNES [ND] [ND],Location de logements
21350195000017,19 AVENUE ALEXIS REY MONTREUIL-SUR-ILLE 35440,Administration publique générale
22320001500707,AU VILLAGE MONTESQUIOU 32320,Administration publique (tutelle) des activités économiques
20006615700021,CHATEAU STANISLAS COMMERCY 55200 MAISON DES SERVICES,Construction d'autres ouvrages de génie civil n.c.a.
05650309700364,AVENUE DE L'ARCALOD RUMILLY 74150 Z.I. LES PEAUSES,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction
13000548124879,67 AVENUE DE CHATEAUDUN BLOIS 41000,Administration publique (tutelle) des activités économiques
21010318000035,RANCE 01390 MAIRIE,Collecte et traitement des eaux usées
21380185500650,9 RUE HEBERT GRENOBLE 38000,Enseignement primaire
03881221000011,1 PLACE JEAN D’ALEMBERT PIERREFITTE-SUR-SEINE 93380,Activités combinées de soutien lié aux bâtiments
29880212500013,PLACE DES VOSGES MARTIGNY-LES-BAINS 88320 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
01993849700013,2 AVENUE PASTEUR ANTIBES 06600,Activités combinées de soutien lié aux bâtiments
21280086600015,10 RUE DES ACACIAS CHASSANT 28480,Administration publique générale
21330024700011,43 ROUTE DU DROPT BAGAS 33190,Administration publique générale
21110234800029,MIREVAL-LAURAGAIS 11400 HOTEL DE VILLE,"Captage, traitement et distribution d'eau"
30247464800540,180 RUE DES PYRENEES PARIS 75020,Autres commerces de détail alimentaires en magasin spécialisé
24330150400078,46 AVENUE DES COLONIES ANDERNOS-LES-BAINS 33510 COBAN ATLANTIQUE,Administration publique (tutelle) des activités économiques
21430135000127,1 PLACE DU POLE LAURENT EYNAC LE MONASTIER-SUR-GAZEILLE 43150 MAIRIE,Location de terrains et d'autres biens immobiliers
30404665900054,60 CHEMIN DE SAINT SAUVEUR LIMAY 78520,Autres organisations fonctionnant par adhésion volontaire
26300284200015,4 PLACE DE LA FONTAINE SAZE 30650 MAIRIE,Action sociale sans hébergement n.c.a.
30332240800103,2 RUE DU PUITS DIXME ORLY 94310 ZI ORLY SENIA,Commerce de gros (commerce interentreprises) d'autres biens domestiques
22180001400153,RUE DANTON BOURGES 18000,Autres activités des médecins spécialistes
20005418700105,1 PLACE DE LA FRATERNITE VAL DES VIGNES 16250 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
21570474300016,RUE DES PONTS MONDELANGE 57300,Administration publique générale
06350274400012,153 ROUTE DE BIEVRE RIVES 38140,"Exploitation de gravières et sablières, extraction d’argiles et de kaolin"
20007326000040,107 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY LUCON 85400,Location de terrains et d'autres biens immobiliers
03935959100011,181 RUE D'ALESIA PARIS 75014 ARIS REP PAR SARL SA,Activités combinées de soutien lié aux bâtiments
20006791600045,4 PLACE GEORGES CLEMENCEAU COSNE-COURS-SUR-LOIRE 58200,Construction d'autres ouvrages de génie civil n.c.a.
30362693100024,19 RUE SAINT JEAN SAINT-ETIENNE 42000,Activités des agences de voyage
03521698500016,BOULEVARD MARECHAL LECLERC TOULOUSE 31000,Activités combinées de soutien lié aux bâtiments
03907553600019,19 PLACE DE LA REPUBLIQUE PARIS 75003 RIS REP PAR,Activités combinées de soutien lié aux bâtiments
17760232300012,13 AVENUE DU MONT RIBOUDET ROUEN 76000,Administration publique générale
30247464801381,83 RUE DE LODI MARSEILLE 13006 83 A 85,Autres commerces de détail alimentaires en magasin spécialisé
13001143000373,45 RUE SAINTE CATHERINE NANCY 54000 CITE ADMINISTRATIVE,Administration publique générale
03933847000014,9 AVENUE DE MONTESPAN PARIS 75016 RIS REP PAR,Activités combinées de soutien lié aux bâtiments
21180025500021,10 RUE DES ECOLES BEFFES 18320,Enseignement primaire
19580101400034,RUE PIERRE MENDES FRANCE CHATEAU-CHINON (VILLE) 58120,Enseignement secondaire technique ou professionnel
21930007600532,122 CHEMIN DE NOTRE DAME LE BLANC-MESNIL 93150,Autres activités des médecins spécialistes
21330198900025,12 AVENUE DU STADE GUITRES 33230,Enseignement pré-primaire
03352230100010,3 AVENUE MARECHAL HARISPE BAYONNE 64100,Activités combinées de soutien lié aux bâtiments
21630148100042,PLACE DE LA MAIRIE ENNEZAT 63720 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
21280196300092,11 RUE PHILEBERT POULAIN ILLIERS-COMBRAY 28120,Entretien corporel
25250858500012,12 GRANDE RUE SANCEY 25430 MAIRIE,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
02150494900013,101 RUE SYLVABELLE MARSEILLE 13006,Activités combinées de soutien lié aux bâtiments
21690217100018,192 RUE DE LA MAIRIE SAINT-JUST-D'AVRAY 69870,Administration publique générale
03938114000019,5 RUE CACHEUX COURBEVOIE 92400 NE COLOMBES 92 REP P,Activités combinées de soutien lié aux bâtiments
03926535000015,59 RUE LEGENDRE PARIS 75017,Activités combinées de soutien lié aux bâtiments
26860047500019,RUE DE L'HOTEL DE VILLE BUXEROLLES 86180 MAIRIE,Action sociale sans hébergement n.c.a.
21120039900049,BRUSQUE 12360 MAIRIE,"Captage, traitement et distribution d'eau"
21220025700039,17 RUE DE L'ALLEE CALLAC 22160,Enseignement pré-primaire
30376306400027,21 RUE DE TOUL PARIS 75012,Location de camions avec chauffeur
21220233700086,2 RUE YVES MARIE LAGADEC PLOURIVO 22860,Administration publique générale
30011439400046,52 RUE DAMREMONT PARIS 75018,Location de logements
03912664400010,30 RUE PECLET PARIS 75015 PAR SARL SERAC ISAMB,Activités combinées de soutien lié aux bâtiments
21010241400013,PLACE DE LA MAIRIE MEILLONNAS 01370,Administration publique générale
21340069000102,PLACE DES CENT QUARANTE CAZOULS-LES-BEZIERS 34370 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
04011034800014,17 RUE SAINT MAXIMIN LYON 69003,Activités combinées de soutien lié aux bâtiments
